0,20300
1,5700
2,7300
3,5400
4,5700
5,5800
6,10000
7,5200
8,5700
9,6300
10,6200
11,6500
12,5800
13,6100
14,5500
15,5700
16,5900
17,6400
18,5600
19,5200
20,4900
21,5600
22,5500
23,5700
24,6600
25,5700
26,7400
27,5500
28,6900
29,5400
30,5600
31,5700
32,5200
33,5500
34,5600
35,6200
36,6400
37,5700
38,5800
39,5600
40,6200
41,5400
42,28100
43,7900
44,5600
45,5300
46,6000
47,7700
48,6600
49,6100
50,6000
51,6400
52,5800
53,5900
54,5400
55,5600
56,6100
57,6400
58,8400
59,6300
60,5800
61,5900
62,6200
63,16700
64,5400
65,5800
66,8200
67,6500
68,9900
69,6100
70,7300
71,8800
72,8400
73,6400
74,7700
75,5700
76,5400
77,11800
78,6000
79,5800
80,7600
81,7500
82,8300
83,10400
84,8100
85,6100
86,6600
87,7800
88,8000
89,5800
90,5700
91,6200
92,6000
93,5500
94,6100
95,6200
96,9400
97,6700
98,8500
99,8400
100,6200
101,6100
102,7200
103,6200
104,5700
105,6000
106,6900
107,7000
108,7800
109,8500
110,8400
111,8000
112,6700
113,6400
114,7700
115,6000
116,6000
117,5800
118,6200
119,7200
120,6000
121,6800
122,8400
123,7600
124,6200
125,6000
126,7600
127,37100
128,6000
129,7000
130,6300
131,9700
132,5700
133,5300
134,6000
135,5400
136,6000
137,11300
138,9800
139,7900
140,6500
141,5500
142,9600
143,5100
144,5600
145,6600
146,5200
147,5900
148,5600
149,4900
150,5700
151,6400
152,5400
153,5500
154,5800
155,5500
156,8200
157,10400
158,8300
159,5100
160,5600
161,5700
162,5000
163,6500
164,5800
165,8000
166,5900
167,5900
168,5300
169,6300
170,5600
171,5600
172,5200
173,5500
174,5300
175,5600
176,4900
177,5400
178,5300
179,5800
180,4700
181,5500
182,5800
183,5500
184,5700
185,5200
186,5200
187,5000
188,5200
189,5500
190,5300
191,13700
192,5800
193,5600
194,6100
195,9100
196,6700
197,5900
198,6100
199,5800
